Institution Name,Location Classification,Program Type,Land Area (Acres),Number of Classrooms,Number of Tutorial Rooms,Number of PG Labs,Number of Workshops,Computer Center Area (sqm),Library Area (sqm),Seminar Hall Area (sqm),Total Student Intake,Approval Status
Institution_9523,Rural,PG,9.86,8,2,20,4,264,600,132,574,Not Approved
Institution_6594,Non-Rural,Diploma,1.43,8,2,0,8,298,450,132,400,Not Approved
Institution_2875,Non-Rural,UG,0.95,8,2,0,2,188,500,132,260,Not Approved
Institution_2715,Non-Rural,Diploma,0.55,16,4,0,16,287,500,132,403,Not Approved
Institution_3366,Rural,UG,8.13,4,1,0,4,261,500,132,139,Not Approved
Institution_7102,Rural,Diploma,3.66,16,4,0,8,224,400,132,562,Not Approved
Institution_5911,Rural,Combined,14.41,16,4,40,8,200,600,132,105,Approved
Institution_2232,Rural,PG,12.89,8,2,20,4,182,600,132,221,Approved
Institution_1244,Rural,Diploma,8.96,8,2,0,6,266,400,132,177,Approved
Institution_8782,Rural,Diploma,3.13,4,1,0,3,242,600,132,524,Not Approved
Institution_1228,Non-Rural,PG,4.19,20,5,50,10,56,650,132,324,Not Approved
Institution_5307,Non-Rural,Combined,0.68,12,3,30,3,99,500,132,308,Not Approved
Institution_1156,Rural,Diploma,9.58,12,3,0,12,258,400,132,181,Approved
Institution_4978,Rural,UG,10.04,16,4,0,8,253,400,132,126,Approved
Institution_8202,Rural,UG,10.91,4,1,0,1,106,500,132,141,Not Approved
Institution_4914,Non-Rural,Diploma,1.04,12,3,0,12,297,450,132,259,Not Approved
Institution_2539,Non-Rural,Combined,0.82,16,4,40,8,55,500,132,550,Not Approved
Institution_3781,Non-Rural,Diploma,1.49,20,5,0,20,258,500,132,533,Not Approved
Institution_6442,Non-Rural,UG,2.38,4,1,0,3,298,600,132,104,Not Approved
Institution_7948,Rural,Combined,7.11,8,2,20,8,142,650,132,314,Not Approved
Institution_3820,Rural,PG,10.47,16,4,40,12,131,400,132,210,Not Approved
Institution_6708,Rural,Combined,8.36,12,3,30,9,96,500,132,369,Not Approved
Institution_1703,Non-Rural,PG,1.84,8,2,20,8,195,550,132,580,Not Approved
Institution_6137,Rural,Combined,13.57,4,1,10,1,161,400,132,189,Approved
Institution_9237,Non-Rural,Combined,3.71,16,4,40,12,117,650,132,455,Not Approved
Institution_4884,Rural,UG,11.02,12,3,0,9,231,450,132,144,Approved
Institution_8362,Non-Rural,UG,4.08,8,2,0,6,259,600,132,283,Approved
Institution_7123,Non-Rural,UG,4.63,4,1,0,4,240,500,132,347,Approved
Institution_6013,Non-Rural,Diploma,0.93,20,5,0,10,181,600,132,567,Not Approved
Institution_3141,Rural,UG,11.38,12,3,0,9,259,450,132,138,Approved
Institution_4638,Rural,Diploma,2.06,16,4,0,16,296,650,132,525,Not Approved
Institution_9458,Non-Rural,PG,3.52,8,2,20,2,300,550,132,259,Approved
Institution_2304,Non-Rural,PG,2.23,16,4,40,16,201,500,132,499,Not Approved
Institution_4552,Rural,PG,10.12,12,3,30,6,139,650,132,276,Not Approved
Institution_9500,Non-Rural,Diploma,1.31,12,3,0,12,169,650,132,287,Not Approved
Institution_9526,Rural,PG,5.59,12,3,30,6,112,550,132,337,Not Approved
Institution_6753,Rural,UG,6.49,12,3,0,12,131,400,132,320,Not Approved
Institution_6644,Rural,UG,7.54,16,4,0,4,260,600,132,208,Not Approved
Institution_8235,Non-Rural,UG,1.62,8,2,0,4,229,650,132,279,Not Approved
Institution_6438,Non-Rural,UG,1.2,4,1,0,1,175,400,132,572,Not Approved
Institution_9746,Non-Rural,UG,4.21,8,2,0,2,210,450,132,166,Approved
Institution_7966,Rural,UG,7.1,20,5,0,10,175,450,132,383,Not Approved
Institution_9900,Rural,PG,11.92,16,4,40,16,140,650,132,118,Not Approved
Institution_3354,Rural,Diploma,4.16,20,5,0,10,71,650,132,400,Not Approved
Institution_1374,Rural,UG,8.03,8,2,0,8,175,400,132,389,Not Approved
Institution_6763,Rural,PG,5.5,12,3,30,6,241,650,132,490,Not Approved
Institution_6934,Non-Rural,Diploma,1.31,20,5,0,10,66,500,132,217,Not Approved
Institution_7482,Rural,Combined,11.57,4,1,10,4,232,500,132,129,Approved
Institution_6361,Non-Rural,PG,2.7,4,1,10,3,128,450,132,519,Not Approved
Institution_4021,Non-Rural,UG,4.7,4,1,0,2,142,550,132,275,Not Approved
Institution_2190,Rural,UG,9.82,20,5,0,10,253,650,132,166,Not Approved
Institution_1541,Rural,PG,7.87,12,3,30,9,160,600,132,231,Not Approved
Institution_1084,Non-Rural,Combined,3.49,16,4,40,12,139,500,132,226,Not Approved
Institution_5945,Rural,Diploma,3.47,20,5,0,15,259,400,132,303,Not Approved
Institution_6923,Rural,Combined,6.0,16,4,40,4,72,500,132,244,Not Approved
Institution_1864,Rural,Combined,6.62,16,4,40,8,176,550,132,546,Approved
Institution_4567,Rural,Diploma,3.16,12,3,0,12,151,500,132,211,Not Approved
Institution_1896,Rural,UG,11.86,20,5,0,5,121,650,132,246,Not Approved
Institution_9818,Rural,Combined,8.56,16,4,40,8,248,550,132,550,Approved
Institution_1806,Non-Rural,Combined,2.56,12,3,30,9,220,600,132,549,Approved
Institution_7762,Rural,Diploma,4.33,16,4,0,16,109,500,132,190,Not Approved
Institution_8548,Rural,UG,7.43,20,5,0,10,272,600,132,492,Not Approved
Institution_2225,Rural,UG,11.35,20,5,0,10,269,450,132,582,Approved
Institution_8005,Rural,Diploma,3.14,16,4,0,4,239,650,132,479,Not Approved
Institution_7704,Rural,PG,10.77,12,3,30,6,208,500,132,384,Approved
Institution_1719,Non-Rural,Diploma,1.86,12,3,0,9,203,650,132,571,Approved
Institution_1405,Non-Rural,Combined,2.4,4,1,10,2,112,600,132,369,Not Approved
Institution_4215,Non-Rural,PG,3.47,20,5,50,5,165,400,132,509,Approved
Institution_1373,Non-Rural,PG,4.45,12,3,30,9,216,500,132,274,Approved
Institution_2996,Rural,PG,11.41,16,4,40,4,83,650,132,363,Not Approved
Institution_8653,Rural,PG,11.36,4,1,10,3,240,550,132,177,Approved
Institution_6018,Rural,UG,7.55,16,4,0,8,184,600,132,281,Not Approved
Institution_2575,Rural,PG,12.21,12,3,30,3,122,500,132,457,Not Approved
Institution_3196,Rural,PG,13.52,20,5,50,5,157,650,132,147,Approved
Institution_5904,Non-Rural,Combined,3.85,8,2,20,8,230,650,132,271,Approved
Institution_2269,Rural,Diploma,8.03,12,3,0,12,281,450,132,538,Approved
Institution_2737,Non-Rural,UG,0.57,16,4,0,12,155,600,132,154,Not Approved
Institution_1483,Rural,UG,9.59,4,1,0,2,242,450,132,487,Not Approved
Institution_4916,Non-Rural,PG,3.88,8,2,20,6,125,500,132,233,Not Approved
Institution_4135,Non-Rural,PG,1.65,4,1,10,3,276,500,132,199,Not Approved
Institution_1440,Non-Rural,PG,4.15,16,4,40,16,272,500,132,522,Approved
Institution_5087,Rural,Diploma,7.68,20,5,0,20,189,450,132,147,Approved
Institution_9665,Rural,UG,7.55,12,3,0,6,296,650,132,455,Not Approved
Institution_9177,Non-Rural,Diploma,0.56,8,2,0,6,94,450,132,427,Not Approved
Institution_6461,Non-Rural,Diploma,1.26,4,1,0,1,194,400,132,454,Not Approved
Institution_1079,Rural,Diploma,6.1,16,4,0,12,131,600,132,474,Not Approved
Institution_4007,Rural,UG,6.66,4,1,0,3,157,550,132,193,Not Approved
Institution_9384,Non-Rural,Diploma,0.94,8,2,0,6,125,550,132,262,Not Approved
Institution_6451,Non-Rural,PG,1.57,4,1,10,2,283,650,132,101,Not Approved
Institution_6531,Rural,Diploma,8.04,12,3,0,12,206,600,132,119,Approved
Institution_2880,Rural,Combined,7.09,8,2,20,4,190,600,132,108,Approved
Institution_4677,Non-Rural,Diploma,1.43,8,2,0,6,211,650,132,472,Not Approved
Institution_9755,Non-Rural,UG,4.7,4,1,0,4,184,550,132,341,Approved
Institution_4970,Non-Rural,PG,0.99,16,4,40,16,293,500,132,543,Not Approved
Institution_8589,Rural,Combined,14.91,12,3,30,12,293,600,132,230,Approved
Institution_9595,Rural,Combined,5.71,8,2,20,6,272,400,132,519,Approved
Institution_1523,Non-Rural,UG,1.62,12,3,0,6,102,450,132,229,Not Approved
Institution_2880,Rural,Combined,7.24,16,4,40,16,85,400,132,409,Not Approved
Institution_9027,Rural,Diploma,2.4,4,1,0,2,300,450,132,131,Not Approved
Institution_4179,Rural,PG,14.37,8,2,20,4,61,400,132,243,Not Approved
Institution_9368,Non-Rural,PG,4.81,16,4,40,16,176,650,132,340,Approved
Institution_7470,Rural,Diploma,6.86,4,1,0,4,166,600,132,411,Approved
Institution_7215,Non-Rural,Diploma,1.53,8,2,0,2,234,400,132,454,Approved
Institution_4339,Rural,UG,10.36,4,1,0,3,169,600,132,116,Approved
Institution_7755,Non-Rural,Combined,3.05,8,2,20,4,137,650,132,245,Not Approved
Institution_5828,Non-Rural,PG,1.57,20,5,50,15,207,550,132,313,Not Approved
Institution_9154,Non-Rural,Combined,2.11,8,2,20,6,94,500,132,103,Not Approved
Institution_1598,Non-Rural,Combined,0.72,4,1,10,1,145,550,132,570,Not Approved
Institution_9170,Rural,Diploma,3.1,20,5,0,5,202,550,132,252,Not Approved
Institution_4200,Rural,Diploma,7.59,16,4,0,12,154,650,132,579,Approved
Institution_4390,Rural,Combined,6.73,8,2,20,6,261,600,132,312,Approved
Institution_3908,Rural,Diploma,3.05,8,2,0,8,248,550,132,210,Not Approved
Institution_2496,Non-Rural,Diploma,1.49,16,4,0,4,210,400,132,358,Not Approved
Institution_1482,Rural,Combined,14.02,8,2,20,4,251,550,132,247,Approved
Institution_2810,Non-Rural,PG,4.76,16,4,40,12,198,400,132,525,Approved
Institution_1558,Rural,Diploma,4.5,12,3,0,12,231,500,132,537,Not Approved
Institution_2756,Rural,UG,5.22,8,2,0,8,281,650,132,500,Not Approved
Institution_7674,Non-Rural,UG,3.27,8,2,0,8,217,550,132,241,Approved
Institution_9720,Rural,Combined,6.52,16,4,40,8,191,400,132,571,Approved
Institution_1110,Rural,UG,6.97,8,2,0,8,239,600,132,320,Not Approved
Institution_8820,Non-Rural,UG,3.74,16,4,0,4,187,550,132,521,Approved
Institution_4039,Non-Rural,UG,1.8,4,1,0,3,285,400,132,177,Not Approved
Institution_7398,Non-Rural,Combined,2.6,16,4,40,16,115,400,132,395,Not Approved
Institution_7842,Non-Rural,UG,1.94,8,2,0,4,224,400,132,540,Not Approved
Institution_5776,Non-Rural,Diploma,0.68,20,5,0,5,58,500,132,101,Not Approved
Institution_6595,Non-Rural,Diploma,1.06,8,2,0,4,232,650,132,592,Not Approved
Institution_9295,Non-Rural,Combined,3.15,20,5,50,15,173,500,132,335,Approved
Institution_7025,Non-Rural,Combined,0.97,20,5,50,10,162,550,132,520,Approved
Institution_6006,Rural,UG,8.14,20,5,0,10,285,650,132,111,Not Approved
Institution_5119,Rural,Diploma,4.98,20,5,0,15,150,600,132,194,Not Approved
Institution_4736,Non-Rural,Diploma,1.38,12,3,0,9,176,400,132,220,Not Approved
Institution_6814,Non-Rural,PG,4.05,12,3,30,6,300,400,132,569,Approved
Institution_9433,Non-Rural,Combined,1.94,12,3,30,6,180,600,132,207,Approved
Institution_3609,Rural,PG,9.18,8,2,20,2,259,650,132,185,Not Approved
Institution_4688,Non-Rural,Combined,3.03,12,3,30,9,129,500,132,271,Not Approved
Institution_2385,Rural,UG,5.61,20,5,0,15,178,450,132,571,Not Approved
Institution_4950,Rural,PG,12.95,16,4,40,8,176,650,132,409,Approved
Institution_3476,Rural,UG,12.86,12,3,0,9,176,550,132,366,Approved
Institution_4585,Rural,PG,11.34,16,4,40,8,253,450,132,277,Approved
Institution_8634,Non-Rural,UG,2.84,8,2,0,2,176,400,132,389,Approved
Institution_1559,Rural,Combined,9.4,8,2,20,2,147,400,132,143,Not Approved
Institution_2245,Non-Rural,UG,0.83,4,1,0,3,141,550,132,473,Not Approved
Institution_5353,Non-Rural,PG,3.98,20,5,50,15,270,600,132,548,Approved
Institution_2312,Non-Rural,Combined,0.51,8,2,20,8,208,500,132,261,Approved
Institution_7620,Rural,Combined,13.95,12,3,30,9,256,500,132,509,Approved
Institution_5213,Non-Rural,UG,3.89,16,4,0,12,158,500,132,408,Approved
Institution_1553,Non-Rural,Diploma,0.57,20,5,0,5,265,400,132,449,Not Approved
Institution_6677,Non-Rural,Combined,2.24,16,4,40,4,298,500,132,378,Approved
Institution_1875,Non-Rural,UG,4.68,8,2,0,2,135,400,132,196,Not Approved
Institution_6216,Rural,Combined,11.36,20,5,50,10,77,500,132,240,Not Approved
Institution_9666,Non-Rural,UG,0.79,16,4,0,8,281,650,132,168,Not Approved
Institution_6835,Rural,PG,12.32,16,4,40,12,115,500,132,201,Not Approved
Institution_8478,Non-Rural,PG,3.23,8,2,20,4,275,550,132,490,Approved
Institution_2581,Rural,UG,10.51,20,5,0,15,131,600,132,211,Not Approved
Institution_2455,Rural,PG,5.34,12,3,30,12,294,600,132,391,Not Approved
Institution_8283,Non-Rural,PG,1.74,12,3,30,12,93,500,132,518,Not Approved
Institution_5085,Rural,PG,13.98,8,2,20,2,231,600,132,229,Approved
Institution_2885,Rural,Diploma,6.02,20,5,0,5,197,600,132,450,Approved
Institution_3780,Non-Rural,PG,0.85,12,3,30,12,66,500,132,430,Not Approved
Institution_7549,Rural,UG,8.18,16,4,0,12,66,400,132,463,Not Approved
Institution_5497,Non-Rural,Combined,0.98,8,2,20,6,84,450,132,460,Not Approved
Institution_5212,Non-Rural,UG,4.7,8,2,0,4,224,400,132,455,Approved
Institution_1971,Rural,PG,7.69,4,1,10,1,247,550,132,328,Not Approved
Institution_1485,Rural,PG,8.65,8,2,20,4,294,500,132,397,Not Approved
Institution_5892,Rural,Diploma,9.4,20,5,0,5,228,600,132,545,Approved
Institution_8070,Rural,UG,12.33,20,5,0,5,213,550,132,530,Approved
Institution_5848,Non-Rural,Diploma,1.88,8,2,0,4,126,650,132,472,Not Approved
Institution_4809,Rural,PG,10.05,12,3,30,3,205,650,132,435,Approved
Institution_2231,Rural,Diploma,2.18,8,2,0,4,236,500,132,124,Not Approved
Institution_8285,Rural,Diploma,4.28,8,2,0,4,205,400,132,468,Not Approved
Institution_3246,Non-Rural,Combined,2.46,12,3,30,6,221,450,132,245,Approved
Institution_1321,Rural,Diploma,3.92,12,3,0,6,195,400,132,404,Not Approved
Institution_8132,Non-Rural,PG,1.94,12,3,30,9,151,550,132,414,Not Approved
Institution_6152,Non-Rural,PG,0.99,8,2,20,2,192,650,132,481,Not Approved
Institution_3015,Non-Rural,Combined,3.96,12,3,30,9,198,400,132,211,Approved
Institution_4855,Rural,PG,12.32,4,1,10,1,249,500,132,394,Approved
Institution_2341,Rural,Diploma,3.37,12,3,0,9,255,650,132,577,Not Approved
Institution_1696,Rural,PG,13.23,20,5,50,10,186,600,132,413,Approved
Institution_2181,Non-Rural,UG,3.57,12,3,0,12,218,450,132,499,Approved
Institution_6139,Rural,Diploma,4.33,20,5,0,20,213,450,132,170,Not Approved
Institution_1181,Non-Rural,Diploma,1.21,12,3,0,3,140,400,132,109,Not Approved
Institution_2780,Rural,Combined,9.78,8,2,20,6,163,500,132,390,Approved
Institution_5047,Rural,PG,5.8,4,1,10,2,267,550,132,430,Not Approved
Institution_8830,Non-Rural,PG,4.56,4,1,10,1,106,500,132,407,Not Approved
Institution_1527,Non-Rural,PG,1.79,4,1,10,2,199,500,132,180,Not Approved
Institution_2235,Non-Rural,PG,3.43,12,3,30,3,138,500,132,455,Not Approved
Institution_3814,Rural,Diploma,7.96,20,5,0,5,295,400,132,114,Approved
Institution_9573,Non-Rural,Diploma,1.77,8,2,0,8,293,400,132,573,Approved
Institution_8255,Non-Rural,PG,2.84,8,2,20,8,197,500,132,310,Approved
Institution_8568,Non-Rural,Combined,2.54,12,3,30,9,240,600,132,396,Approved
Institution_6104,Rural,Combined,12.19,8,2,20,4,269,550,132,581,Approved
Institution_1968,Rural,Combined,8.89,4,1,10,1,166,600,132,424,Approved
Institution_5241,Rural,Combined,11.49,20,5,50,15,246,650,132,566,Approved
Institution_7810,Rural,PG,10.12,16,4,40,16,256,500,132,107,Approved
Institution_2733,Rural,Diploma,7.25,20,5,0,10,53,450,132,595,Not Approved
Institution_8459,Rural,Combined,5.69,8,2,20,2,218,550,132,196,Approved
Institution_3536,Rural,PG,7.59,4,1,10,2,298,400,132,145,Not Approved
Institution_2562,Non-Rural,UG,1.39,20,5,0,10,268,450,132,386,Not Approved
Institution_9738,Non-Rural,PG,1.2,16,4,40,16,242,500,132,317,Not Approved
Institution_3393,Non-Rural,PG,3.89,20,5,50,15,277,650,132,348,Approved
Institution_1140,Rural,PG,9.23,8,2,20,6,108,450,132,176,Not Approved
Institution_8470,Non-Rural,Combined,0.92,16,4,40,8,166,500,132,480,Approved
Institution_1575,Non-Rural,UG,5.0,8,2,0,2,240,500,132,586,Approved
Institution_1699,Rural,Combined,10.62,20,5,50,10,96,450,132,197,Not Approved
Institution_8952,Rural,PG,6.22,4,1,10,1,167,600,132,251,Not Approved
Institution_7715,Rural,Combined,13.59,4,1,10,2,277,600,132,451,Approved
Institution_1988,Non-Rural,Combined,4.53,8,2,20,6,137,400,132,246,Not Approved
Institution_8945,Non-Rural,PG,3.22,12,3,30,6,215,550,132,208,Approved
Institution_9766,Non-Rural,UG,2.97,4,1,0,1,281,600,132,368,Approved
Institution_7849,Rural,Diploma,7.34,16,4,0,12,124,650,132,199,Not Approved
Institution_7093,Rural,PG,8.27,16,4,40,4,172,400,132,317,Not Approved
Institution_8107,Non-Rural,UG,4.17,8,2,0,2,212,400,132,299,Approved
Institution_2198,Rural,UG,14.71,4,1,0,4,250,400,132,555,Approved
Institution_9390,Rural,Diploma,2.58,16,4,0,8,271,500,132,239,Not Approved
Institution_1432,Non-Rural,PG,2.51,4,1,10,4,261,650,132,389,Approved
Institution_2250,Non-Rural,Diploma,0.94,20,5,0,10,238,650,132,397,Not Approved
Institution_7755,Rural,Combined,9.68,4,1,10,2,99,550,132,239,Not Approved
Institution_6207,Non-Rural,Diploma,1.88,4,1,0,3,286,500,132,172,Approved
Institution_6163,Non-Rural,Combined,4.1,16,4,40,16,186,550,132,274,Approved
Institution_1581,Non-Rural,Combined,4.44,20,5,50,5,222,650,132,414,Approved
Institution_6860,Non-Rural,PG,2.52,16,4,40,12,244,550,132,307,Approved
Institution_6539,Non-Rural,UG,3.12,12,3,0,9,218,500,132,261,Approved
Institution_1464,Rural,Combined,11.41,16,4,40,8,168,500,132,586,Approved
Institution_5711,Rural,Combined,9.08,20,5,50,5,102,600,132,141,Not Approved
Institution_3908,Rural,Combined,12.56,12,3,30,6,245,500,132,546,Approved
Institution_2920,Non-Rural,PG,4.77,8,2,20,8,285,550,132,480,Approved
Institution_1759,Rural,Combined,11.55,16,4,40,4,165,600,132,114,Approved
Institution_9335,Rural,PG,12.12,16,4,40,16,155,500,132,313,Approved
Institution_5884,Rural,Combined,14.16,8,2,20,6,206,400,132,320,Approved
Institution_7040,Non-Rural,PG,2.81,12,3,30,9,103,500,132,144,Not Approved
Institution_4574,Rural,PG,7.63,20,5,50,20,115,600,132,336,Not Approved
Institution_6563,Rural,UG,12.33,12,3,0,3,152,650,132,151,Approved
Institution_9582,Non-Rural,UG,1.04,4,1,0,4,201,500,132,290,Not Approved
Institution_3776,Rural,Combined,7.74,16,4,40,12,187,450,132,377,Approved
Institution_8449,Rural,PG,6.68,12,3,30,6,91,550,132,279,Not Approved
Institution_9404,Rural,UG,5.33,20,5,0,20,292,450,132,468,Not Approved
Institution_3724,Rural,Diploma,9.73,20,5,0,10,203,550,132,217,Approved
Institution_5450,Rural,Diploma,9.25,8,2,0,8,297,450,132,555,Approved
Institution_9688,Non-Rural,Combined,3.82,8,2,20,4,168,650,132,528,Approved
Institution_1587,Rural,Combined,6.1,8,2,20,2,291,650,132,548,Approved
Institution_2708,Non-Rural,UG,3.34,12,3,0,12,182,450,132,381,Approved
Institution_6972,Non-Rural,Combined,3.76,20,5,50,20,54,650,132,548,Not Approved
Institution_9162,Rural,Diploma,3.93,20,5,0,15,196,650,132,319,Not Approved
Institution_4219,Rural,Diploma,5.09,4,1,0,4,63,600,132,145,Not Approved
Institution_2226,Rural,PG,14.47,12,3,30,6,282,500,132,227,Approved
Institution_9466,Non-Rural,Combined,2.01,4,1,10,4,184,550,132,372,Approved
Institution_6668,Non-Rural,PG,1.63,8,2,20,2,95,600,132,428,Not Approved
Institution_7644,Rural,Combined,13.36,12,3,30,6,152,650,132,530,Approved
Institution_7711,Rural,Diploma,4.88,8,2,0,2,210,550,132,395,Not Approved
Institution_4313,Non-Rural,PG,3.14,20,5,50,15,205,500,132,472,Approved
Institution_6198,Non-Rural,UG,0.63,4,1,0,3,105,400,132,375,Not Approved
Institution_7913,Rural,PG,5.63,20,5,50,20,122,550,132,541,Not Approved
Institution_2868,Rural,Diploma,9.48,20,5,0,20,259,550,132,572,Approved
Institution_8404,Rural,Diploma,2.74,8,2,0,4,220,550,132,174,Not Approved
Institution_3672,Non-Rural,UG,4.93,16,4,0,16,185,550,132,556,Approved
Institution_1062,Rural,PG,9.22,4,1,10,4,270,550,132,487,Not Approved
Institution_6871,Rural,Diploma,8.32,4,1,0,4,157,550,132,100,Approved
Institution_8364,Non-Rural,Diploma,0.85,20,5,0,15,197,650,132,441,Not Approved
Institution_2277,Non-Rural,Diploma,1.09,8,2,0,2,148,400,132,239,Not Approved
Institution_6206,Non-Rural,Diploma,1.33,12,3,0,12,66,500,132,168,Not Approved
Institution_6049,Rural,PG,13.03,8,2,20,4,258,450,132,326,Approved
Institution_4706,Non-Rural,UG,3.18,8,2,0,8,188,600,132,598,Approved
Institution_6754,Non-Rural,Combined,4.66,16,4,40,8,174,450,132,449,Approved
Institution_3667,Rural,UG,11.64,12,3,0,12,76,600,132,203,Not Approved
Institution_9935,Rural,PG,7.42,12,3,30,6,258,450,132,582,Not Approved
Institution_7454,Rural,Combined,9.52,8,2,20,8,71,450,132,216,Not Approved
Institution_1079,Rural,Diploma,5.58,8,2,0,6,145,550,132,350,Not Approved
Institution_4029,Non-Rural,PG,2.02,8,2,20,8,169,450,132,423,Not Approved
Institution_2079,Rural,Diploma,7.1,12,3,0,12,120,450,132,172,Not Approved
Institution_1862,Non-Rural,UG,1.22,4,1,0,1,257,550,132,586,Not Approved
Institution_6906,Rural,Diploma,7.26,8,2,0,6,151,600,132,255,Approved
Institution_1252,Non-Rural,Combined,1.65,8,2,20,4,160,400,132,392,Approved
Institution_3899,Non-Rural,Combined,2.1,4,1,10,2,53,400,132,102,Not Approved
Institution_7483,Rural,Combined,12.57,4,1,10,2,223,400,132,474,Approved
Institution_4073,Non-Rural,Combined,1.94,16,4,40,4,64,600,132,312,Not Approved
Institution_8036,Non-Rural,Combined,2.07,20,5,50,10,192,450,132,543,Approved
Institution_5174,Rural,Combined,14.3,8,2,20,6,181,600,132,453,Approved
Institution_9598,Rural,UG,12.17,20,5,0,10,221,500,132,533,Approved
Institution_6011,Non-Rural,Combined,4.55,8,2,20,4,89,500,132,172,Not Approved
Institution_3779,Non-Rural,Combined,2.19,20,5,50,5,272,400,132,106,Approved
Institution_7599,Rural,PG,12.5,16,4,40,8,260,450,132,390,Approved
Institution_9980,Rural,UG,13.33,12,3,0,9,139,550,132,115,Not Approved
Institution_5364,Non-Rural,Diploma,1.06,16,4,0,4,258,650,132,463,Not Approved
Institution_5496,Non-Rural,Diploma,0.71,8,2,0,6,114,450,132,479,Not Approved
Institution_7484,Rural,PG,14.27,12,3,30,6,298,600,132,462,Approved
Institution_3295,Rural,Combined,5.83,16,4,40,12,200,450,132,505,Approved
Institution_7741,Rural,Diploma,6.71,8,2,0,6,103,500,132,148,Not Approved
Institution_1941,Non-Rural,Diploma,1.69,16,4,0,8,191,650,132,289,Approved
Institution_1637,Non-Rural,Diploma,0.71,4,1,0,4,186,500,132,433,Not Approved
Institution_9232,Rural,UG,5.35,4,1,0,4,279,450,132,592,Not Approved
Institution_5262,Rural,UG,6.63,16,4,0,8,166,550,132,403,Not Approved
Institution_8880,Rural,UG,14.94,16,4,0,4,104,500,132,424,Not Approved
Institution_8794,Non-Rural,UG,1.01,4,1,0,1,130,400,132,269,Not Approved
Institution_7874,Rural,Diploma,5.96,12,3,0,6,167,650,132,271,Approved
Institution_2081,Non-Rural,Combined,3.5,8,2,20,4,163,450,132,400,Approved
Institution_6777,Non-Rural,PG,3.6,16,4,40,4,164,450,132,346,Approved
Institution_3291,Rural,Combined,14.05,4,1,10,1,187,550,132,104,Approved
Institution_4700,Rural,UG,6.36,16,4,0,12,170,500,132,360,Not Approved
Institution_7604,Rural,UG,11.65,16,4,0,16,202,600,132,234,Approved
Institution_3677,Non-Rural,Combined,1.2,4,1,10,1,284,650,132,153,Approved
Institution_4211,Non-Rural,Diploma,1.8,8,2,0,2,298,500,132,359,Approved
Institution_2455,Non-Rural,Diploma,1.06,20,5,0,20,240,450,132,304,Not Approved
Institution_9434,Rural,PG,5.49,16,4,40,12,293,400,132,144,Not Approved
Institution_4922,Rural,PG,13.89,8,2,20,8,191,500,132,238,Approved
Institution_5871,Non-Rural,Diploma,1.19,4,1,0,1,111,450,132,302,Not Approved
Institution_9282,Non-Rural,PG,3.2,16,4,40,16,225,550,132,371,Approved
Institution_3631,Non-Rural,Diploma,1.23,12,3,0,12,139,600,132,503,Not Approved
Institution_4715,Rural,Combined,13.38,8,2,20,2,83,500,132,415,Not Approved
Institution_2088,Non-Rural,Combined,3.25,12,3,30,12,50,650,132,123,Not Approved
Institution_3745,Non-Rural,Combined,4.74,8,2,20,8,69,550,132,576,Not Approved
Institution_1230,Non-Rural,UG,2.96,20,5,0,20,139,500,132,567,Not Approved
Institution_5266,Non-Rural,UG,2.12,8,2,0,8,252,450,132,276,Not Approved
Institution_7881,Non-Rural,Diploma,1.32,12,3,0,6,50,600,132,254,Not Approved
Institution_7129,Non-Rural,Diploma,0.7,8,2,0,6,150,400,132,334,Not Approved
Institution_6128,Non-Rural,Combined,1.7,16,4,40,16,206,400,132,385,Approved
Institution_5976,Rural,PG,5.26,20,5,50,5,216,400,132,129,Not Approved
Institution_4230,Rural,Diploma,9.44,4,1,0,3,59,600,132,202,Not Approved
Institution_9606,Non-Rural,Combined,1.47,4,1,10,4,162,400,132,176,Approved
Institution_4362,Rural,UG,7.38,12,3,0,9,122,400,132,335,Not Approved
Institution_5750,Non-Rural,PG,1.23,8,2,20,4,250,400,132,409,Not Approved
Institution_8933,Non-Rural,Diploma,1.51,8,2,0,4,125,500,132,593,Not Approved
Institution_3818,Non-Rural,UG,2.74,8,2,0,8,207,650,132,400,Approved
Institution_4591,Rural,UG,7.55,8,2,0,8,296,500,132,423,Not Approved
Institution_2659,Non-Rural,PG,4.06,4,1,10,2,161,650,132,225,Approved
Institution_8376,Non-Rural,Diploma,1.54,20,5,0,5,91,400,132,186,Not Approved
Institution_1708,Rural,UG,6.13,12,3,0,6,114,450,132,588,Not Approved
Institution_6221,Rural,UG,5.36,20,5,0,20,262,650,132,581,Not Approved
Institution_3084,Rural,Combined,11.84,20,5,50,20,61,450,132,354,Not Approved
Institution_2817,Rural,UG,14.8,4,1,0,1,65,400,132,480,Not Approved
Institution_1937,Non-Rural,PG,2.49,20,5,50,5,146,450,132,168,Not Approved
Institution_8541,Rural,UG,5.56,8,2,0,6,175,550,132,364,Not Approved
Institution_6063,Rural,UG,6.47,12,3,0,9,231,450,132,409,Not Approved
Institution_4653,Non-Rural,UG,2.54,8,2,0,2,69,550,132,409,Not Approved
Institution_2319,Non-Rural,PG,3.81,12,3,30,6,167,600,132,101,Approved
Institution_6763,Non-Rural,Diploma,0.97,12,3,0,12,178,650,132,578,Not Approved
